SimTime,ETROC2_tb.ETROC2_inst.ETROC2_IO_v7_inst.FC_Int
0,
3000001000,1
3007681000,0
3020161000,1
3032641000,0
3045121000,1
3057601000,0
3070081000,1
3082561000,0
3095041000,1
3107521000,0
3120001000,1
3132481000,0
3144961000,1
3157441000,0
3169921000,1
3182401000,0
3194881000,1
3207361000,0
3219841000,1
3232321000,0
3244801000,1
3257281000,0
3269761000,1
3282241000,0
3294721000,1
3307201000,0
3319681000,1
3332161000,0
3344641000,1
3357121000,0
3369601000,1
3382081000,0
3394561000,1
3407041000,0
3419521000,1
3432001000,0
3444481000,1
3456961000,0
3469441000,1
3481921000,0
3494401000,1
3506881000,0
3519361000,1
3531841000,0
3544321000,1
3556801000,0
3569281000,1
3581761000,0
3594241000,1
3606721000,0
3619201000,1
3631681000,0
3644161000,1
3656641000,0
3669121000,1
3681601000,0
3694081000,1
3706561000,0
3719041000,1
3731521000,0
3744001000,1
3756481000,0
3768961000,1
3781441000,0
3793921000,1
3806401000,0
3818881000,1
3831361000,0
3843841000,1
3856321000,0
3868801000,1
3881281000,0
3893761000,1
3906241000,0
3918721000,1
3931201000,0
3943681000,1
3956161000,0
3968641000,1
3981121000,0
3993601000,1
4006081000,0
4018561000,1
4031041000,0
4043521000,1
4056001000,0
4068481000,1
4080961000,0
4093441000,1
4105921000,0
4118401000,1
4130881000,0
4143361000,1
4155841000,0
4168321000,1
4180801000,0
4193281000,1
4205761000,0
4218241000,1
4230721000,0
4243201000,1
4255681000,0
4268161000,1
4280641000,0
4293121000,1
4305601000,0
4318081000,1
4330561000,0
4343041000,1
4355521000,0
4368001000,1
4380481000,0
4392961000,1
4405441000,0
4417921000,1
4430401000,0
4442881000,1
4455361000,0
4467841000,1
4480321000,0
4492801000,1
4505281000,0
4517761000,1
4530241000,0
4542721000,1
4555201000,0
4567681000,1
4580161000,0
4592641000,1
4605121000,0
4617601000,1
4630081000,0
4642561000,1
4655041000,0
4667521000,1
4680001000,0
4692481000,1
4704961000,0
4717441000,1
4729921000,0
4742401000,1
4754881000,0
4767361000,1
4779841000,0
4792321000,1
4804801000,0
4817281000,1
4829761000,0
4842241000,1
4854721000,0
4867201000,1
4879681000,0
4892161000,1
4904641000,0
4917121000,1
4929601000,0
4942081000,1
4954561000,0
4967041000,1
4979521000,0
4992001000,1
5004481000,0
5016961000,1
5029441000,0
5041921000,1
5054401000,0
5066881000,1
5079361000,0
5091841000,1
5104321000,0
5116801000,1
5129281000,0
5141761000,1
5154241000,0
5166721000,1
5179201000,0
5191681000,1
5204161000,0
5216641000,1
5229121000,0
5241601000,1
5254081000,0
5266561000,1
5279041000,0
5291521000,1
5304001000,0
5316481000,1
5328961000,0
5341441000,1
5353921000,0
5366401000,1
5378881000,0
5391361000,1
5403841000,0
5416321000,1
5428801000,0
5441281000,1
5453761000,0
5466241000,1
5478721000,0
5491201000,1
5503681000,0
5516161000,1
5528641000,0
5541121000,1
5553601000,0
5566081000,1
5578561000,0
5591041000,1
5603521000,0
5616001000,1
5628481000,0
5640961000,1
5653441000,0
5665921000,1
5678401000,0
5690881000,1
5703361000,0
5715841000,1
5728321000,0
5740801000,1
5753281000,0
5765761000,1
5778241000,0
5790721000,1
5803201000,0
5815681000,1
5828161000,0
5840641000,1
5853121000,0
5865601000,1
5878081000,0
5890561000,1
5903041000,0
5915521000,1
5928001000,0
5940481000,1
5952961000,0
5965441000,1
5977921000,0
5990401000,1
6002881000,0
6015361000,1
6027841000,0
6040321000,1
6052801000,0
6065281000,1
6077761000,0
6090241000,1
6102721000,0
6115201000,1
6127681000,0
6140161000,1
6152641000,0
6165121000,1
6177601000,0
6190081000,1
6202561000,0
6215041000,1
6227521000,0
6240001000,1
6252481000,0
6264961000,1
6277441000,0
6289921000,1
6302401000,0
6314881000,1
6327361000,0
6339841000,1
6352321000,0
6364801000,1
6377281000,0
6389761000,1
6402241000,0
6414721000,1
6427201000,0
6439681000,1
6452161000,0
6464641000,1
6477121000,0
6489601000,1
6502081000,0
6514561000,1
6527041000,0
6539521000,1
6552001000,0
6564481000,1
6576961000,0
6589441000,1
6601921000,0
6614401000,1
6626881000,0
6639361000,1
6651841000,0
6664321000,1
6676801000,0
6689281000,1
6701761000,0
6714241000,1
6726721000,0
6739201000,1
6751681000,0
6764161000,1
6776641000,0
6789121000,1
6801601000,0
6814081000,1
6826561000,0
6839041000,1
6851521000,0
6864001000,1
6876481000,0
6888961000,1
6901441000,0
6913921000,1
6926401000,0
6938881000,1
6951361000,0
6963841000,1
6976321000,0
6988801000,1
7001281000,0
7013761000,1
7026241000,0
7038721000,1
7051201000,0
7063681000,1
7076161000,0
7088641000,1
7101121000,0
7113601000,1
7126081000,0
7138561000,1
7151041000,0
7163521000,1
7176001000,0
7188481000,1
7200961000,0
7213441000,1
7225921000,0
7238401000,1
7250881000,0
7263361000,1
7275841000,0
7288321000,1
7300801000,0
7313281000,1
7325761000,0
7338241000,1
7350721000,0
7363201000,1
7375681000,0
7388161000,1
7400641000,0
7413121000,1
7425601000,0
7438081000,1
7450561000,0
7463041000,1
7475521000,0
7488001000,1
7500481000,0
7512961000,1
7525441000,0
7537921000,1
7550401000,0
7562881000,1
7575361000,0
7587841000,1
7600321000,0
7612801000,1
7625281000,0
7637761000,1
7650241000,0
7662721000,1
7675201000,0
7687681000,1
7700161000,0
7712641000,1
7725121000,0
7737601000,1
7750081000,0
7762561000,1
7775041000,0
7787521000,1
7800001000,0
7812481000,1
7824961000,0
7837441000,1
7849921000,0
7862401000,1
7874881000,0
7887361000,1
7899841000,0
7912321000,1
7924801000,0
7937281000,1
7949761000,0
7962241000,1
7974721000,0
7987201000,1
7999681000,0
8012161000,1
8024641000,0
8037121000,1
8049601000,0
8062081000,1
8074561000,0
8087041000,1
8099521000,0
8112001000,1
8124481000,0
8136961000,1
8149441000,0
8161921000,1
8174401000,0
8186881000,1
8199361000,0
8211841000,1
8224321000,0
8236801000,1
8249281000,0
8261761000,1
8274241000,0
8286721000,1
8299201000,0
8311681000,1
8324161000,0
8336641000,1
8349121000,0
8361601000,1
8374081000,0
8386561000,1
8399041000,0
8411521000,1
8424001000,0
8436481000,1
8448961000,0
8461441000,1
8473921000,0
8486401000,1
8498881000,0
8511361000,1
8523841000,0
8536321000,1
8548801000,0
8561281000,1
8573761000,0
8586241000,1
8598721000,0
8611201000,1
8623681000,0
8636161000,1
8648641000,0
8661121000,1
8673601000,0
8686081000,1
8698561000,0
8711041000,1
8723521000,0
8736001000,1
8748481000,0
8760961000,1
8773441000,0
8785921000,1
8798401000,0
8810881000,1
8823361000,0
8835841000,1
8848321000,0
8860801000,1
8873281000,0
8885761000,1
8898241000,0
8910721000,1
8923201000,0
8935681000,1
8948161000,0
8960641000,1
8973121000,0
8985601000,1
8998081000,0
9010561000,1
9023041000,0
9035521000,1
9048001000,0
9060481000,1
9072961000,0
9085441000,1
9097921000,0
9110401000,1
9122881000,0
9135361000,1
9147841000,0
9160321000,1
9172801000,0
9185281000,1
9197761000,0
9210241000,1
9222721000,0
9235201000,1
9247681000,0
9260161000,1
9272641000,0
9285121000,1
9297601000,0
9310081000,1
9322561000,0
9335041000,1
9347521000,0
9360001000,1
9372481000,0
9384961000,1
9397441000,0
9409921000,1
9422401000,0
9434881000,1
9447361000,0
9459841000,1
9472321000,0
9484801000,1
9497281000,0
9509761000,1
9522241000,0
9534721000,1
9547201000,0
9559681000,1
9572161000,0
9584641000,1
9597121000,0
9609601000,1
9622081000,0
9634561000,1
9647041000,0
9659521000,1
9672001000,0
9684481000,1
9696961000,0
9709441000,1
9721921000,0
9734401000,1
9746881000,0
9759361000,1
9771841000,0
9784321000,1
9796801000,0
9809281000,1
9821761000,0
9834241000,1
9846721000,0
9859201000,1
9871681000,0
9884161000,1
9896641000,0
9909121000,1
9921601000,0
9934081000,1
9946561000,0
9959041000,1
9971521000,0
9984001000,1
9996481000,0
10008961000,1
10021441000,0
10033921000,1
10046401000,0
10058881000,1
10071361000,0
10083841000,1
10096321000,0
10108801000,1
10121281000,0
10133761000,1
10146241000,0
10158721000,1
10171201000,0
10183681000,1
10196161000,0
10208641000,1
10221121000,0
10233601000,1
10246081000,0
10258561000,1
10271041000,0
10283521000,1
10296001000,0
10308481000,1
10320961000,0
10333441000,1
10345921000,0
10358401000,1
10370881000,0
10383361000,1
10395841000,0
10408321000,1
10420801000,0
10433281000,1
10445761000,0
10458241000,1
10470721000,0
10483201000,1
10495681000,0
10508161000,1
10520641000,0
10533121000,1
10545601000,0
10558081000,1
10570561000,0
10583041000,1
10595521000,0
10608001000,1
10620481000,0
10632961000,1
10645441000,0
10657921000,1
10670401000,0
10682881000,1
10695361000,0
10707841000,1
10720321000,0
10732801000,1
10745281000,0
10757761000,1
10770241000,0
10782721000,1
10795201000,0
10807681000,1
10820161000,0
10832641000,1
10845121000,0
10857601000,1
10870081000,0
10882561000,1
10895041000,0
10907521000,1
10920001000,0
10932481000,1
10944961000,0
10957441000,1
10969921000,0
10982401000,1
10994881000,0
